Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00044.trk,,,,,,,
Object,0,,,,,,,
Samples,372,,,,,,,
id,59,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:14.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00044.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,30:30.7,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,31:45.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
120,23.8,107.53,197.22,428,264,n ext,96.5,3.91
121,24,111.51,193.49,428,384,n ext,95.98,5.46
122,24.2,115.39,189.01,476,400,n ext,95.09,5.94
123,24.4,118.39,184.45,536,420,north,93.88,5.46
124,24.6,122.05,178.45,520,480,north,92.52,7.02
125,24.8,124.89,173.25,588,452,north,91.48,5.93
126,25,128.45,167.5,632,532,north,91.11,6.76
127,25.2,131.22,162.44,620,524,north,90.75,5.76
128,25.4,133.14,157.2,604,480,north,89.88,5.59
129,25.6,135.12,152.81,620,432,north,89.74,4.81
130,25.8,136.14,146.58,640,556,north,88.32,6.32
131,26,136.45,141.03,644,556,east,86.84,5.56
132,26.2,135.17,134.43,656,572,east,83.91,6.71
133,26.4,133.21,127.89,684,596,east,80.68,6.83
134,26.6,131.35,121.54,716,568,east,77.97,6.62
135,26.8,128.8,114.55,712,564,east,75.06,7.44
136,27,126.38,107.78,744,576,east,72.75,7.19
137,27.2,124.74,100.47,704,600,east,71.97,7.49
138,27.4,122.48,92.55,732,644,east,71.35,8.24
139,27.6,120.32,85.43,712,692,east,71.44,7.44
140,27.8,116.85,79.12,764,708,east,70.76,7.2
141,28,113.42,73.53,716,656,south,70.48,6.56
142,28.2,108.64,68.64,720,668,south,69.16,6.84
143,28.4,104.52,64.33,680,552,south,68.5,5.96
144,28.6,98.97,59.09,708,580,south,68.01,7.64
145,28.8,94.72,53.59,644,568,south,69.34,6.94
146,29,88.94,47.64,680,604,south,70.84,8.3
147,29.2,83.71,41.28,672,608,south,73.61,8.23
148,29.4,78.28,34.4,644,580,south,77.56,8.76
149,29.6,73.41,27.15,604,504,south,82.79,8.74
150,29.8,68.37,20.26,560,508,s ext,88.18,8.53
151,30,63.95,13.14,516,380,s ext,94.31,8.38
152,30.2,61.25,9.23,448,260,s ext,97.74,4.74
153,30.4,61.25,9.23,440,104,s ext,97.74,0
154,30.6,61.47,12.2,396,212,s ext,94.83,2.98
155,30.8,62.37,13.5,376,228,s ext,93.69,1.58
156,31,60.64,11.88,360,416,s ext,95.03,2.37
157,31.2,57.21,9.54,428,340,s ext,96.94,4.16
158,31.4,54.83,10.48,468,272,s ext,95.79,2.56
159,31.6,49.86,10.28,520,340,s ext,95.74,4.97
160,31.8,45.01,12.02,544,360,s ext,93.99,5.15
161,32,41.01,14.13,480,328,s ext,91.99,4.53
162,32.2,36.87,15.18,460,300,s ext,91.24,4.27
163,32.4,34.39,16.01,420,280,s ext,90.68,2.62
164,32.6,33.7,17.7,420,360,s ext,89.1,1.82
165,32.8,34.81,20.2,420,392,s ext,86.47,2.74
166,33,33.33,22.51,456,436,s ext,84.38,2.74
167,33.2,31.26,27.54,504,400,s ext,79.75,5.44
168,33.4,30.96,33.31,480,352,w ext,74.14,5.78
169,33.6,30.8,41.01,496,376,west,66.64,7.7
170,33.8,30.59,48.59,540,380,west,59.3,7.58
171,34,30.32,56.06,552,436,west,52.1,7.48
172,34.2,30.91,64.59,548,428,west,43.73,8.55
173,34.4,32.19,72.18,580,464,west,36.11,7.69
174,34.6,32.63,81.24,572,512,west,27.47,9.07
175,34.8,33.78,90.2,596,448,west,18.96,9.03
176,35,34,98.91,636,528,west,11.71,8.72
177,35.2,34.12,107.54,652,568,west,6.26,8.62
178,35.4,33.36,115.31,644,536,west,5.52,7.81
179,35.6,32.52,124,608,516,west,9.52,8.73
180,35.8,30.05,131.34,628,516,west,16.15,7.74
181,36,28.3,139.62,584,524,west,23.79,8.46
182,36.2,25.75,146.54,556,420,west,31.03,7.38
183,36.4,23.15,153.72,512,444,w ext,38.52,7.64
184,36.6,20.54,160.23,456,344,w ext,45.43,7.01
185,36.8,19.63,163.4,400,216,w ext,48.65,3.31
186,37,19.63,163.4,400,120,w ext,48.65,0
187,37.2,20.43,163.07,376,176,w ext,47.97,0.87
188,37.4,21.23,162.74,440,240,w ext,47.3,0.86
189,37.6,21.9,165.24,424,360,w ext,49.22,2.59
190,37.8,24.15,167.05,388,244,w ext,49.94,2.88
191,38,27.9,169.08,408,308,w ext,50.54,4.26
192,38.2,32.48,168.94,428,356,w ext,49.2,4.59
193,38.4,37.03,168.88,476,376,w ext,48.33,4.54
194,38.6,43.83,168.1,480,428,west,46.95,6.85
195,38.8,49.16,166.37,492,404,west,45.36,5.6
196,39,55.93,165.3,536,484,north,45.17,6.85
197,39.2,61.96,163.91,552,496,north,45.36,6.19
198,39.4,68.7,163.5,540,508,north,47.33,6.75
199,39.6,75.44,164.23,588,584,north,51.12,6.78
200,39.8,82.97,166.9,588,576,north,57.51,7.99
201,40,89.88,170.07,592,532,north,64.21,7.6
202,40.2,96.97,174.58,560,552,north,72.12,8.4
203,40.4,105.91,179.95,532,580,north,82.01,10.43
204,40.6,114.32,185.17,496,532,north,91.55,9.9
205,40.8,121.42,191.61,452,484,n ext,101.11,9.59
206,41,127.94,198.43,392,396,n ext,110.54,9.44
207,41.2,132.82,204.12,300,308,n ext,118.02,7.49
208,41.4,133.72,204.49,320,172,n ext,118.91,0.98
209,41.6,134.52,203.85,232,168,n ext,119.01,1.02
210,41.8,134.29,201.83,188,244,n ext,117.42,2.03
211,42,136.22,203.59,248,244,n ext,120.02,2.61
212,42.2,139.75,204.16,380,244,n ext,122.94,3.58
213,42.4,143.17,203.77,360,260,n ext,125.15,3.44
214,42.6,148.18,202.24,344,280,n ext,127.84,5.23
215,42.8,153.02,199.75,380,364,n ext,129.96,5.45
216,43,156.92,196.83,412,336,n ext,131.25,4.87
217,43.2,161.24,191.24,400,420,n ext,131.55,7.07
218,43.4,164.74,186.19,412,380,n ext,131.75,6.15
219,43.6,170.07,181.95,404,416,e ext,134.14,6.81
220,43.8,174.25,176.05,424,436,e ext,135.07,7.23
221,44,177.65,170.63,452,380,e ext,135.85,6.4
222,44.2,180.1,164.65,472,436,e ext,135.83,6.46
223,44.4,182.36,157.44,472,432,e ext,135.56,7.56
224,44.6,184.79,151.13,496,384,e ext,136.1,6.76
225,44.8,185.39,144.09,460,372,e ext,135.04,7.07
226,45,186.92,137.2,484,368,e ext,135.19,7.05
227,45.2,187.72,131.06,460,336,e ext,135.06,6.19
228,45.4,187.35,122.51,432,444,e ext,133.88,8.55
229,45.6,185.48,114.87,452,380,e ext,131.73,7.87
230,45.8,182.86,107.35,480,404,e ext,129.19,7.97
231,46,179.45,99.03,512,456,e ext,126.39,8.99
232,46.2,175.34,90.1,524,460,east,123.59,9.82
233,46.4,170.64,80.75,556,576,east,120.93,10.46
234,46.6,166.29,72.85,556,512,east,118.98,9.02
235,46.8,162.14,64.41,504,492,east,118.08,9.41
236,47,158.28,58.12,532,484,east,117.21,7.38
237,47.2,153.84,50.49,560,532,east,116.98,8.83
238,47.4,148.91,45.08,556,524,east,115.73,7.31
239,47.6,144.12,39.77,564,544,east,114.82,7.15
240,47.8,138.74,34.7,560,516,south,113.76,7.39
241,48,134.08,29.3,556,508,south,113.92,7.13
242,48.2,129.4,25.48,536,468,s ext,113.34,6.04
243,48.4,126.73,21.81,504,408,s ext,114.26,4.54
244,48.6,124.03,18.92,476,396,s ext,114.73,3.95
245,48.8,123.38,15.47,484,536,s ext,117.02,3.51
246,49,122.72,12.89,460,384,s ext,118.67,2.67
247,49.2,122.73,11.97,404,280,s ext,119.41,0.92
248,49.4,124.81,10.54,456,212,s ext,121.8,2.52
249,49.6,124.8,11.47,388,220,s ext,121.06,0.93
250,49.8,124.8,11.47,336,212,s ext,121.06,0
251,50,125.48,12.22,348,156,s ext,120.88,1.01
252,50.2,126.86,11.84,448,316,s ext,122.02,1.43
253,50.4,128.9,12.17,492,260,s ext,123.04,2.07
254,50.6,131.62,12.21,480,244,s ext,124.73,2.72
255,50.8,134.35,11.24,476,220,s ext,127.24,2.89
256,51,135.66,13.52,488,460,s ext,126.38,2.63
257,51.2,139,14.94,472,464,s ext,127.59,3.63
258,51.4,143.67,16.58,476,468,s ext,129.67,4.95
259,51.6,147.67,18.4,500,384,s ext,131.28,4.39
260,51.8,152.37,20.73,480,396,e ext,133.2,5.24
261,52,157.12,22.03,476,404,e ext,135.99,4.93
262,52.2,162.63,22.89,428,392,e ext,139.78,5.58
263,52.4,166.17,26.92,432,452,e ext,140.22,5.36
264,52.6,169.79,30.05,404,452,e ext,141.43,4.78
265,52.8,172.78,33.66,380,408,e ext,141.95,4.69
266,53,173.63,37.42,364,368,e ext,140.68,3.86
267,53.2,175.28,41.89,384,468,e ext,139.84,4.77
268,53.4,176.15,44.67,424,400,e ext,139.27,2.91
269,53.6,178.76,51.06,456,424,e ext,138.71,6.89
270,53.8,179.89,57.08,464,376,e ext,137.28,6.13
271,54,182.79,64.83,452,404,e ext,137.19,8.27
272,54.2,184.18,72.1,440,396,e ext,136.28,7.41
273,54.4,186.46,79.33,408,336,e ext,136.64,7.58
274,54.6,188.99,87.84,396,372,e ext,137.43,8.88
275,54.8,191.41,94.37,364,272,e ext,138.81,6.96
276,55,193.08,101.07,400,308,e ext,139.76,6.91
277,55.2,194.11,108.99,400,312,e ext,140.37,7.99
278,55.4,193.28,115.65,376,304,e ext,139.54,6.71
279,55.6,192.47,122.19,388,324,e ext,138.97,6.59
280,55.8,189.9,128.29,360,316,e ext,136.9,6.62
281,56,186.83,130.88,360,264,e ext,134.16,4.01
282,56.2,183.06,134.21,444,340,e ext,130.89,5.04
283,56.4,178.85,134.27,412,280,east,126.74,4.21
284,56.6,175.68,135.5,460,288,east,123.82,3.4
285,56.8,170.56,134.31,484,344,east,118.58,5.25
286,57,165.54,133.19,544,380,east,113.44,5.15
287,57.2,159.68,131.04,552,392,east,107.3,6.24
288,57.4,154.04,129.91,588,452,east,101.56,5.75
289,57.6,147.71,128.73,592,508,east,95.12,6.44
290,57.8,141.56,128.46,660,580,east,89.01,6.16
291,58,135.6,129.82,668,544,east,83.38,6.11
292,58.2,129.67,131.16,668,536,east,77.85,6.08
293,58.4,124.48,131.87,696,500,north,72.92,5.24
294,58.6,117.8,131.69,752,560,north,66.37,6.69
295,58.8,111.93,132.46,732,548,north,60.89,5.92
296,59,104.6,132.5,740,616,north,53.9,7.32
297,59.2,97.32,132.76,744,604,north,47.12,7.29
298,59.4,90.05,133.96,740,636,north,40.94,7.37
299,59.6,82.79,134.72,712,628,north,34.98,7.3
300,59.8,74.82,134.36,680,664,north,28.1,7.98
301,60,66.8,135.03,672,608,west,22.46,8.05
302,60.2,59.47,135.16,640,600,west,18.02,7.32
303,60.4,52.88,133.83,652,548,west,13.94,6.73
304,60.6,45.43,132.69,612,560,west,11.52,7.53
305,60.8,38.63,130.62,612,544,west,10.77,7.11
306,61,32.45,129.16,628,528,west,12.93,6.35
307,61.2,25.33,125.97,604,528,west,16.6,7.81
308,61.4,19.62,123.17,596,472,west,20.6,6.36
309,61.6,13.74,120.15,580,456,w ext,25.68,6.61
310,61.8,7.64,115.85,536,444,w ext,31.24,7.46
311,62,4.85,110.91,476,428,w ext,34.1,5.67
312,62.2,3.8,106.76,452,392,w ext,35.65,4.28
313,62.4,2.67,101.48,412,352,w ext,37.84,5.4
314,62.6,2.4,96.14,376,332,w ext,39.79,5.35
315,62.8,3.18,94.04,316,244,w ext,39.92,2.25
316,63,4.93,93.06,304,300,w ext,38.79,2
317,63.2,5.77,92.06,304,248,w ext,38.54,1.31
